variant,N,T,batch,order_position,repetition,elapsed_ns,seed,checksum
baseline_v3,16384,512,3,8,14,8945202,42,5365761.8426366011
baseline_v3,16384,512,3,8,15,9282606,42,5365761.8426366011
baseline_v3,16384,512,3,8,16,9705149,42,5365761.8426366011
baseline_v3,16384,512,3,8,17,11224356,42,5365761.8426366011
baseline_v3,16384,512,3,8,18,9635252,42,5365761.8426366011
optimized_v4,16384,1024,3,9,13,11084231,42,10771937.672788229
optimized_v4,16384,1024,3,9,14,10829367,42,10771937.672788229
optimized_v4,16384,1024,3,9,15,10394978,42,10771937.672788229
optimized_v4,16384,1024,3,9,16,11156237,42,10771937.672788229
optimized_v4,16384,1024,3,9,17,10464462,42,10771937.672788229
optimized_v4,16384,1024,3,9,18,10086230,42,10771937.672788229
baseline_v3,16384,128,3,10,13,2086076,42,1284671.2712755087
baseline_v3,16384,128,3,10,14,2000656,42,1284671.2712755087
baseline_v3,16384,128,3,10,15,1970360,42,1284671.2712755087
baseline_v3,16384,128,3,10,16,2042476,42,1284671.2712755087
baseline_v3,16384,128,3,10,17,2003771,42,1284671.2712755087
baseline_v3,16384,128,3,10,18,1991979,42,1284671.2712755087
baseline_v3,16384,1024,3,11,13,17567997,42,10771937.672788229
baseline_v3,16384,1024,3,11,14,19748956,42,10771937.672788229
baseline_v3,16384,1024,3,11,15,20760279,42,10771937.672788229
baseline_v3,16384,1024,3,11,16,20598948,42,10771937.672788229
baseline_v3,16384,1024,3,11,17,21743745,42,10771937.672788229
baseline_v3,16384,1024,3,11,18,20595806,42,10771937.672788229
baseline_v3,16384,256,3,12,13,5202860,42,2602783.1043406166
baseline_v3,16384,256,3,12,14,5079018,42,2602783.1043406166
baseline_v3,16384,256,3,12,15,4490404,42,2602783.1043406166
baseline_v3,16384,256,3,12,16,4542140,42,2602783.1043406166
baseline_v3,16384,256,3,12,17,4315555,42,2602783.1043406166
baseline_v3,16384,256,3,12,18,5068063,42,2602783.1043406166
baseline_v3,16384,32,3,13,13,503281,42,352736.71994500834
baseline_v3,16384,32,3,13,14,655944,42,352736.71994500834
baseline_v3,16384,32,3,13,15,634969,42,352736.71994500834
baseline_v3,16384,32,3,13,16,623149,42,352736.71994500834
baseline_v3,16384,32,3,13,17,546458,42,352736.71994500834
baseline_v3,16384,32,3,13,18,668219,42,352736.71994500834
optimized_v4,16384,128,3,14,13,1720934,42,1284671.2712755087
optimized_v4,16384,128,3,14,14,1645190,42,1284671.2712755087
optimized_v4,16384,128,3,14,15,1398148,42,1284671.2712755087
optimized_v4,16384,128,3,14,16,1431509,42,1284671.2712755087
optimized_v4,16384,128,3,14,17,1493581,42,1284671.2712755087
optimized_v4,16384,128,3,14,18,1569357,42,1284671.2712755087
optimized_v4,16384,64,3,15,13,1055786,42,660083.65979530779
optimized_v4,16384,64,3,15,14,1419281,42,660083.65979530779
optimized_v4,16384,64,3,15,15,1137623,42,660083.65979530779
optimized_v4,16384,64,3,15,16,1026638,42,660083.65979530779
optimized_v4,16384,64,3,15,17,1188013,42,660083.65979530779
optimized_v4,16384,64,3,15,18,2148366,42,660083.65979530779
optimized_v4,16384,32,3,16,13,465358,42,352736.71994500834
optimized_v4,16384,32,3,16,14,423690,42,352736.71994500834
optimized_v4,16384,32,3,16,15,519193,42,352736.71994500834
optimized_v4,16384,32,3,16,16,318583,42,352736.71994500834
optimized_v4,16384,32,3,16,17,301431,42,352736.71994500834
optimized_v4,16384,32,3,16,18,352488,42,352736.71994500834
optimized_v4,16384,512,4,1,19,5597920,42,5365761.8426366011
optimized_v4,16384,512,4,1,20,5743333,42,5365761.8426366011
optimized_v4,16384,512,4,1,21,5064524,42,5365761.8426366011
optimized_v4,16384,512,4,1,22,5203641,42,5365761.8426366011
optimized_v4,16384,512,4,1,23,6155598,42,5365761.8426366011
optimized_v4,16384,512,4,1,24,6267887,42,5365761.8426366011
baseline_v3,16384,1024,4,2,19,18590015,42,10771937.672788229
baseline_v3,16384,1024,4,2,20,20498823,42,10771937.672788229
baseline_v3,16384,1024,4,2,21,18821661,42,10771937.672788229
baseline_v3,16384,1024,4,2,22,17793628,42,10771937.672788229
baseline_v3,16384,1024,4,2,23,18509701,42,10771937.672788229
baseline_v3,16384,1024,4,2,24,18099528,42,10771937.672788229
baseline_v3,16384,32,4,3,19,474283,42,352736.71994500834
baseline_v3,16384,32,4,3,20,480000,42,352736.71994500834
baseline_v3,16384,32,4,3,21,472378,42,352736.71994500834
baseline_v3,16384,32,4,3,22,475205,42,352736.71994500834
baseline_v3,16384,32,4,3,23,436954,42,352736.71994500834
baseline_v3,16384,32,4,3,24,472037,42,352736.71994500834
optimized_v4,16384,4096,4,4,19,53702839,42,44120056.654433712
optimized_v4,16384,4096,4,4,20,53449311,42,44120056.654433712
optimized_v4,16384,4096,4,4,21,61738597,42,44120056.654433712
optimized_v4,16384,4096,4,4,22,87858735,42,44120056.654433712
optimized_v4,16384,4096,4,4,23,62396271,42,44120056.654433712
optimized_v4,16384,4096,4,4,24,57357411,42,44120056.654433712
baseline_v3,16384,256,4,5,19,4562124,42,2602783.1043406166
baseline_v3,16384,256,4,5,20,5147893,42,2602783.1043406166
baseline_v3,16384,256,4,5,21,5055936,42,2602783.1043406166
baseline_v3,16384,256,4,5,22,4305812,42,2602783.1043406166
baseline_v3,16384,256,4,5,23,5087726,42,2602783.1043406166
baseline_v3,16384,256,4,5,24,5103710,42,2602783.1043406166
optimized_v4,16384,1024,4,6,19,11349727,42,10771937.672788229
optimized_v4,16384,1024,4,6,20,11099253,42,10771937.672788229
optimized_v4,16384,1024,4,6,21,11770523,42,10771937.672788229
optimized_v4,16384,1024,4,6,22,10722885,42,10771937.672788229
optimized_v4,16384,1024,4,6,23,10672147,42,10771937.672788229
optimized_v4,16384,1024,4,6,24,13046663,42,10771937.672788229
optimized_v4,16384,64,4,7,19,643458,42,660083.65979530779
optimized_v4,16384,64,4,7,20,635351,42,660083.65979530779
optimized_v4,16384,64,4,7,21,662100,42,660083.65979530779
optimized_v4,16384,64,4,7,22,930787,42,660083.65979530779
optimized_v4,16384,64,4,7,23,976467,42,660083.65979530779
optimized_v4,16384,64,4,7,24,1080177,42,660083.65979530779
optimized_v4,16384,256,4,8,19,3042425,42,2602783.1043406166
optimized_v4,16384,256,4,8,20,2568722,42,2602783.1043406166
optimized_v4,16384,256,4,8,21,2588993,42,2602783.1043406166
optimized_v4,16384,256,4,8,22,3161739,42,2602783.1043406166
optimized_v4,16384,256,4,8,23,3025288,42,2602783.1043406166
optimized_v4,16384,256,4,8,24,2642490,42,2602783.1043406166
baseline_v3,16384,128,4,9,19,2459760,42,1284671.2712755087
baseline_v3,16384,128,4,9,20,2835595,42,1284671.2712755087
baseline_v3,16384,128,4,9,21,2228445,42,1284671.2712755087
baseline_v3,16384,128,4,9,22,2281854,42,1284671.2712755087
baseline_v3,16384,128,4,9,23,2146917,42,1284671.2712755087
baseline_v3,16384,128,4,9,24,1957628,42,1284671.2712755087
baseline_v3,16384,512,4,10,19,8714993,42,5365761.8426366011
baseline_v3,16384,512,4,10,20,8807035,42,5365761.8426366011
baseline_v3,16384,512,4,10,21,8643114,42,5365761.8426366011
baseline_v3,16384,512,4,10,22,8778424,42,5365761.8426366011
baseline_v3,16384,512,4,10,23,8729695,42,5365761.8426366011
baseline_v3,16384,512,4,10,24,8910998,42,5365761.8426366011
baseline_v3,16384,64,4,11,19,922585,42,660083.65979530779
baseline_v3,16384,64,4,11,20,1116660,42,660083.65979530779
baseline_v3,16384,64,4,11,21,1176777,42,660083.65979530779
baseline_v3,16384,64,4,11,22,1044350,42,660083.65979530779
baseline_v3,16384,64,4,11,23,960820,42,660083.65979530779
baseline_v3,16384,64,4,11,24,939771,42,660083.65979530779
optimized_v4,16384,32,4,12,19,498476,42,352736.71994500834
optimized_v4,16384,32,4,12,20,391551,42,352736.71994500834
optimized_v4,16384,32,4,12,21,393402,42,352736.71994500834
optimized_v4,16384,32,4,12,22,462785,42,352736.71994500834
optimized_v4,16384,32,4,12,23,412820,42,352736.71994500834
optimized_v4,16384,32,4,12,24,336829,42,352736.71994500834
baseline_v3,16384,2048,4,13,19,40885372,42,21978482.187348239
baseline_v3,16384,2048,4,13,20,41136376,42,21978482.187348239
baseline_v3,16384,2048,4,13,21,42338770,42,21978482.187348239
baseline_v3,16384,2048,4,13,22,44084234,42,21978482.187348239
baseline_v3,16384,2048,4,13,23,46607532,42,21978482.187348239
baseline_v3,16384,2048,4,13,24,45289294,42,21978482.187348239
baseline_v3,16384,4096,4,14,19,91311674,42,44120056.654433712
baseline_v3,16384,4096,4,14,20,77948741,42,44120056.654433712
baseline_v3,16384,4096,4,14,21,78378788,42,44120056.654433712
baseline_v3,16384,4096,4,14,22,77454547,42,44120056.654433712
baseline_v3,16384,4096,4,14,23,78189322,42,44120056.654433712
baseline_v3,16384,4096,4,14,24,77515873,42,44120056.654433712
optimized_v4,16384,2048,4,15,19,30519483,42,21978482.187348239
optimized_v4,16384,2048,4,15,20,26082300,42,21978482.187348239
optimized_v4,16384,2048,4,15,21,27483092,42,21978482.187348239
optimized_v4,16384,2048,4,15,22,27246317,42,21978482.187348239
optimized_v4,16384,2048,4,15,23,25065274,42,21978482.187348239
optimized_v4,16384,2048,4,15,24,22704652,42,21978482.187348239
optimized_v4,16384,128,4,16,19,1756760,42,1284671.2712755087
optimized_v4,16384,128,4,16,20,1310311,42,1284671.2712755087
optimized_v4,16384,128,4,16,21,1503920,42,1284671.2712755087
optimized_v4,16384,128,4,16,22,1691881,42,1284671.2712755087
optimized_v4,16384,128,4,16,23,1689774,42,1284671.2712755087
optimized_v4,16384,128,4,16,24,1465569,42,1284671.2712755087
baseline_v3,16384,128,5,1,25,2172645,42,1284671.2712755087
baseline_v3,16384,128,5,1,26,2083280,42,1284671.2712755087
baseline_v3,16384,128,5,1,27,2108017,42,1284671.2712755087
baseline_v3,16384,128,5,1,28,2567432,42,1284671.2712755087
